Date,VIX,Open,High,Low,Close,regime_class
1991-12-03,19.7,381.4,381.48,379.92,380.96,5
1991-12-04,19.54,380.96,381.51,378.07,380.07,5
1991-12-05,20.19,380.07,380.07,376.58,377.39,5
1991-12-06,19.04,377.39,382.39,375.41,379.1,5
1991-12-09,19.74,379.09,381.42,377.67,378.26,6
1991-12-10,19.89,378.26,379.57,376.64,377.9,6
1991-12-11,20.57,377.9,379.42,374.78,377.7,6
1991-12-12,19.08,377.7,381.62,377.7,381.55,6
1991-12-13,17.88,381.55,385.04,381.55,384.47,6
1991-12-16,17.62,384.48,385.84,384.37,384.46,6
1991-12-17,18.12,384.46,385.05,382.6,382.74,6
1991-12-18,17.78,382.74,383.51,380.88,383.48,6
1991-12-19,17.96,383.46,383.46,380.64,382.52,6
1991-12-20,17.65,382.52,388.24,382.52,387.04,6
1991-12-23,16.61,387.05,397.44,386.96,396.82,6
1991-12-24,15.67,396.82,401.79,396.82,399.33,6
1991-12-26,15.44,399.33,404.92,399.31,404.84,6
1991-12-27,15.7,404.84,406.58,404.59,406.46,6
1991-12-30,17.63,406.49,415.14,406.49,415.14,6
1991-12-31,19.31,415.14,418.32,412.73,417.09,6
1992-01-02,18.95,417.03,417.27,411.04,417.26,6
1992-01-03,18.75,417.27,419.79,416.16,419.34,6
1992-01-06,18.96,419.31,419.44,416.92,417.96,7
1992-01-07,19.23,417.96,417.96,415.2,417.4,7
1992-01-08,18.72,417.36,420.23,415.02,418.1,7
1992-01-09,18.96,418.09,420.5,415.85,417.61,7
1992-01-10,18.45,417.62,417.62,413.31,415.1,7
1992-01-13,18.01,415.05,415.36,413.54,414.34,7
1992-01-14,17.01,414.34,420.44,414.32,420.44,7
1992-01-15,17.39,420.45,421.18,418.79,420.77,7
1992-01-16,17.64,420.77,420.85,415.37,418.21,7
1992-01-17,16.32,418.2,419.45,416.0,418.86,7
1992-01-20,16.42,418.86,418.86,415.8,416.36,7
1992-01-21,17.92,416.36,416.39,411.32,412.64,7
1992-01-22,16.75,412.65,418.13,412.49,418.13,7
1992-01-23,16.46,418.13,419.78,414.36,414.96,7
1992-01-24,16.24,414.96,417.27,414.29,415.48,7
1992-01-27,16.67,415.44,416.84,414.48,414.99,7
1992-01-28,17.67,414.98,416.41,414.54,414.96,7
1992-01-29,17.62,414.96,417.83,409.17,410.34,7
1992-01-30,17.49,410.34,412.17,409.26,411.62,7
1992-01-31,17.4,411.65,412.63,408.64,408.78,7
1992-02-03,18.2,408.79,409.95,407.45,409.53,7
1992-02-04,17.96,409.6,413.85,409.28,413.85,8
1992-02-05,18.22,413.88,416.17,413.18,413.84,8
1992-02-06,18.79,413.87,414.55,411.93,413.82,8
1992-02-07,18.51,413.82,415.29,408.04,411.09,8
1992-02-10,18.56,411.07,413.77,411.07,413.77,8
1992-02-11,17.7,413.77,414.38,412.24,413.76,8
1992-02-12,17.37,413.77,418.08,413.36,417.13,8
1992-02-13,17.45,417.13,417.77,412.07,413.69,8
1992-02-14,17.03,413.69,413.84,411.2,412.48,8
1992-02-18,18.22,412.48,413.27,406.34,407.38,8
1992-02-19,17.16,407.38,408.7,406.54,408.26,8
1992-02-20,16.72,408.26,413.9,408.26,413.9,8
1992-02-21,16.87,413.9,414.26,409.72,411.43,8
1992-02-24,17.13,411.46,412.94,410.34,412.27,8
1992-02-25,16.35,412.27,412.27,408.02,410.45,8
1992-02-26,16.64,410.48,415.35,410.48,415.35,8
1992-02-27,16.51,415.35,415.99,413.47,413.86,8
1992-02-28,16.68,413.86,416.07,411.8,412.7,8
1992-03-02,16.88,412.68,413.74,411.52,412.45,8
1992-03-03,17.26,412.45,413.78,411.88,412.85,8
1992-03-04,17.89,412.86,413.27,409.33,409.33,9
1992-03-05,18.47,409.33,409.33,405.42,406.51,9
1992-03-06,19.75,406.51,407.51,403.65,404.44,9
1992-03-09,19.68,404.45,405.64,404.25,405.21,9
1992-03-10,18.68,405.21,409.16,405.21,406.89,9
1992-03-11,19.79,406.88,407.02,402.64,404.03,9
1992-03-12,19.72,404.03,404.72,401.94,403.89,9
1992-03-13,18.35,403.92,406.69,403.92,405.84,9
1992-03-16,18.46,405.85,406.4,403.55,406.39,9
1992-03-17,16.79,406.39,409.72,406.39,409.58,9
1992-03-18,16.69,409.58,410.84,408.23,409.15,9
1992-03-19,16.52,409.15,410.57,409.12,409.8,9
1992-03-20,16.82,409.8,411.3,408.53,411.3,9
1992-03-23,16.73,411.29,411.29,408.87,409.91,9
1992-03-24,16.32,409.91,411.43,407.99,408.88,9
1992-03-25,16.19,408.88,409.87,407.52,407.52,9
1992-03-26,16.29,407.52,409.44,406.75,407.86,9
